,Bankura,Barddhaman,Birbhum,Dakshin Dinajpur,Darjiling,Haora,Hugli,Jalpaiguri,Koch Bihar,Kolkata,Maldah,Murshidabad,Nadia,North Twenty Four Parganas,Paschim Medinipur,Purba Medinipur,Puruliya,South Twenty Four Parganas,Uttar Dinajpur
2008,43316,97385,52139,19023,25395,49404,45670,38927,38777,63370,63166,177342,59363,94171,64372,63301,41636,89465,40169
2009,57739,129372,66030,25029,33070,53323,66023,48424,51333,76575,87190,145438,74872,122984,89494,67154,54318,115251,60212
2010,55350,140494,64018,25916,33937,59864,76859,52862,52188,77677,89325,144744,75482,129412,88474,82471,56181,122424,63364
2011,58645,122820,64502,26755,34959,58249,69563,52808,52740,84782,96811,145541,76115,108360,84978,80882,56630,112574,62395
2012,54945,113247,63283,26984,35595,58685,58285,53581,51659,83631,94314,131207,74891,98836,86572,85942,54918,126914,66258
2013,52664,131993,61364,26109,33381,53643,63192,55260,52608,90705,96296,161724,72278,86000,80681,80571,52102,126566,66861
2014,53887,147185,59308,25253,29866,50787,62283,52536,49761,89371,96266,162593,67724,74239,77780,77203,55572,137700,64851
2015,52250,138634,55257,23582,28577,46917,60240,37841,48802,87050,93184,147782,65111,70771,73233,74418,51783,121015,59982
2016,50286,35233,58661,23196,23512,43806,56083,27855,46865,84950,93269,143248,63109,82535,68111,73264,47946,117642,58458
2017,48132,109073,57545,23413,22163,47204,66483,26664,46873,82830,92477,149617,63563,84755,60221,76298,48371,115075,58254
2018,48144,102874,59689,23510,25113,43046,63874,27298,44850,77652,89380,153798,69954,72583,66327,77834,47984,118941,56760
2019,49899,105007,60797,22512,26429,38103,61131,27082,44784,78329,89063,157408,72818,70519,59875,75918,48861,117715,55893
