Year,Bankura,Barddhaman,Birbhum,Dakshin Dinajpur,Darjiling,Haora,Hugli,Jalpaiguri,Koch Bihar,Kolkata,Maldah,Murshidabad,Nadia,North Twenty Four Parganas,Paschim Medinipur,Purba Medinipur,Puruliya,South Twenty Four Parganas,Uttar Dinajpur
2008,0.88,0.85,0.78,0.88,0.86,0.86,0.89,0.9,0.87,0.87,0.75,0.83,0.9,0.89,0.87,0.85,0.82,0.86,0.81
2009,0.91,0.88,0.84,0.91,0.86,0.87,0.9,0.9,0.9,0.88,0.83,0.88,0.91,0.9,0.9,0.87,0.87,0.87,0.83
2010,0.93,0.91,0.87,0.91,0.88,0.89,0.92,0.92,0.91,0.89,0.85,0.9,0.93,0.91,0.92,0.9,0.89,0.89,0.84
2011,0.94,0.92,0.9,0.92,0.89,0.9,0.94,0.93,0.91,0.91,0.87,0.92,0.94,0.93,0.92,0.9,0.89,0.9,0.85
2012,0.95,0.94,0.94,0.93,0.9,0.91,0.94,0.93,0.9,0.91,0.88,0.94,0.95,0.93,0.94,0.91,0.91,0.91,0.85
2013,0.96,0.95,0.95,0.92,0.9,0.93,0.96,0.92,0.89,0.93,0.88,0.94,0.95,0.93,0.95,0.93,0.93,0.92,0.84
2014,0.96,0.95,0.95,0.92,0.91,0.94,0.96,0.93,0.89,0.94,0.88,0.95,0.96,0.94,0.96,0.94,0.92,0.94,0.85
2015,0.96,0.95,0.95,0.94,0.92,0.94,0.96,0.94,0.92,0.94,0.89,0.95,0.96,0.95,0.95,0.94,0.92,0.94,0.88
2016,0.95,0.95,0.94,0.94,0.92,0.94,0.95,0.94,0.93,0.94,0.89,0.95,0.96,0.95,0.95,0.94,0.92,0.94,0.88
2017,0.95,0.94,0.94,0.95,0.91,0.93,0.95,0.94,0.94,0.93,0.89,0.94,0.96,0.94,0.94,0.93,0.91,0.93,0.89
2018,0.94,0.94,0.94,0.95,0.92,0.93,0.95,0.95,0.95,0.93,0.9,0.94,0.96,0.94,0.93,0.93,0.92,0.93,0.9
2019,0.94,0.95,0.94,0.95,0.93,0.93,0.95,0.95,0.95,0.93,0.9,0.94,0.96,0.94,0.94,0.93,0.92,0.93,0.9
