,Bankura,Barddhaman,Birbhum,Dakshin Dinajpur,Darjiling,Haora,Hugli,Jalpaiguri,Koch Bihar,Kolkata,Maldah,Murshidabad,Nadia,North Twenty Four Parganas,Paschim Medinipur,Purba Medinipur,Puruliya,South Twenty Four Parganas,Uttar Dinajpur
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008.038462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008.076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008.115385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008.153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008.192308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008.230769,46,32,23,24,44,67,55,48,4,44,115,115,60,32,29,52,21,117,80
2008.269231,46,32,23,24,44,67,55,48,4,44,115,115,60,32,29,52,21,117,80
2008.307692,15,32,16,19,21,29,55,25,6,23,130,127,92,32,20,62,26,52,38
2008.346154,15,32,16,19,21,29,55,25,6,23,130,127,92,32,20,62,26,52,38
2008.384615,26,0,24,22,29,51,14,24,9,45,27,64,86,22,9,22,18,39,56
2008.423077,26,0,24,22,29,51,14,24,9,45,27,64,86,22,9,22,18,39,56
2008.461538,14,15,17,9,29,27,48,50,7,48,41,52,34,47,13,16,22,34,90
2008.5,14,15,17,9,29,27,48,50,7,48,41,52,34,47,13,16,22,34,90
2008.538462,70,14,13,18,22,23,21,0,22,46,25,75,34,57,8,19,10,19,40
2008.576923,70,14,13,18,22,23,21,0,22,46,25,75,34,57,8,19,10,19,40
2008.615385,41,33,5,1,19,51,30,5,26,12,17,75,36,15,13,43,3,26,45
2008.653846,41,33,5,1,19,51,30,5,26,12,17,75,36,15,13,43,3,26,45
2008.692308,5,17,5,10,7,19,20,6,1,20,15,19,19,19,5,27,5,34,38
2008.730769,5,17,5,10,7,19,20,6,1,20,15,19,19,19,5,27,5,34,38
2008.769231,10,9,6,6,20,39,12,8,2,21,17,34,16,32,29,44,5,57,63
2008.807692,10,9,6,6,20,39,12,8,2,21,17,34,16,32,29,44,5,57,63
2008.846154,10,18,17,9,43,42,29,315,3,34,45,26,20,22,19,45,2,24,76
2008.884615,10,18,17,9,43,42,29,315,3,34,45,26,20,22,19,45,2,24,76
2008.923077,5,16,32,24,16,29,51,14,4,23,67,79,19,105,23,69,4,47,45
2008.961538,5,16,32,24,16,29,51,14,4,23,67,79,19,105,23,69,4,47,45
2009,26,30,40,29,17,54,81,38,13,102,75,102,131,0,59,118,13,156,108
2009.038462,26,30,40,29,17,54,81,38,13,102,75,102,131,0,59,118,13,156,108
2009.076923,65,28,77,21,27,100,98,15,63,75,120,256,134,297,90,156,40,327,140
2009.115385,65,28,77,21,27,100,98,15,63,75,120,256,134,297,90,156,40,327,140
2009.153846,43,80,59,73,39,0,157,88,0,64,190,9,135,438,85,320,21,153,125
2009.192308,43,80,59,73,39,0,157,88,0,64,190,9,135,438,85,320,21,153,125
2009.230769,20,57,91,42,36,54,68,63,0,47,258,32,85,202,33,106,42,68,90
2009.269231,20,57,91,42,36,54,68,63,0,47,258,32,85,202,33,106,42,68,90
2009.307692,17,38,38,27,69,32,25,33,0,12,116,73,59,257,24,34,21,68,63
2009.346154,17,38,38,27,69,32,25,33,0,12,116,73,59,257,24,34,21,68,63
2009.384615,9,139,15,8,18,31,18,14,0,16,60,62,38,54,12,24,5,156,27
2009.423077,9,139,15,8,18,31,18,14,0,16,60,62,38,54,12,24,5,156,27
2009.461538,2,31,6,3,16,24,19,7,0,16,31,42,41,51,24,34,4,8,18
2009.5,2,31,6,3,16,24,19,7,0,16,31,42,41,51,24,34,4,8,18
2009.538462,2,20,4,4,9,26,23,15,0,13,28,46,57,44,7,27,6,10,16
2009.576923,2,20,4,4,9,26,23,15,0,13,28,46,57,44,7,27,6,10,16
2009.615385,3,22,22,6,7,14,25,4,0,5,24,104,19,43,6,27,5,12,22
2009.653846,3,22,22,6,7,14,25,4,0,5,24,104,19,43,6,27,5,12,22
2009.692308,5,19,5,5,9,25,28,16,0,4,27,44,38,72,23,43,7,14,17
2009.730769,5,19,5,5,9,25,28,16,0,4,27,44,38,72,23,43,7,14,17
2009.769231,2,67,4,5,6,22,25,2,0,5,27,34,36,74,13,27,6,32,10
2009.807692,2,67,4,5,6,22,25,2,0,5,27,34,36,74,13,27,6,32,10
2009.846154,6,10,4,5,0,51,46,2,0,5,22,45,31,94,15,36,6,26,15
2009.884615,6,10,4,5,0,51,46,2,0,5,22,45,31,94,15,36,6,26,15
2009.923077,10,22,7,29,2,51,77,7,0,23,33,90,71,116,31,72,5,46,23
2009.961538,10,22,7,29,2,51,77,7,0,23,33,90,71,116,31,72,5,46,23
2010,10,53,12,21,9,45,51,14,0,37,36,116,99,146,35,0,30,68,64
2010.038462,10,53,12,21,9,45,51,14,0,37,36,116,99,146,35,0,30,68,64
2010.076923,19,45,16,9,11,22,29,31,19,15,61,56,50,79,81,96,21,24,148
2010.115385,19,45,16,9,11,22,29,31,19,15,61,56,50,79,81,96,21,24,148
2010.153846,13,41,14,26,11,23,32,71,28,3,45,50,36,47,29,34,9,23,147
2010.192308,13,41,14,26,11,23,32,71,28,3,45,50,36,47,29,34,9,23,147
2010.230769,4,35,15,17,5,15,37,48,7,3,31,41,20,82,30,21,12,67,79
2010.269231,4,35,15,17,5,15,37,48,7,3,31,41,20,82,30,21,12,67,79
2010.307692,4,23,14,37,6,13,20,13,9,2,35,41,18,60,15,19,6,46,139
2010.346154,4,23,14,37,6,13,20,13,9,2,35,41,18,60,15,19,6,46,139
2010.384615,2,21,6,12,7,12,25,18,3,0,23,32,29,47,15,29,5,52,39
2010.423077,2,21,6,12,7,12,25,18,3,0,23,32,29,47,15,29,5,52,39
2010.461538,4,12,6,11,13,23,15,6,6,3,17,27,21,72,10,45,10,22,47
2010.5,4,12,6,11,13,23,15,6,6,3,17,27,21,72,10,45,10,22,47
2010.538462,1,5,3,11,13,33,16,7,4,11,20,31,19,33,12,21,6,58,36
2010.576923,1,5,3,11,13,33,16,7,4,11,20,31,19,33,12,21,6,58,36
2010.615385,6,13,15,23,10,8,30,7,3,2,22,37,27,67,12,22,5,85,28
2010.653846,6,13,15,23,10,8,30,7,3,2,22,37,27,67,12,22,5,85,28
2010.692308,6,18,10,13,13,15,29,16,4,11,30,27,18,91,13,28,3,52,46
2010.730769,6,18,10,13,13,15,29,16,4,11,30,27,18,91,13,28,3,52,46
2010.769231,9,9,7,7,13,23,42,32,4,26,11,61,24,54,19,63,7,72,30
2010.807692,9,9,7,7,13,23,42,32,4,26,11,61,24,54,19,63,7,72,30
