,Bankura, Barddhaman  ,Birbhum,Dakshin Dinajpur,Darjiling,Haora,Hugli,Jalpaiguri,Koch Bihar,Kolkata,Maldah,Murshidabad,Nadia,North Twenty Four Parganas,Paschim Medinipur,Purba Medinipur,Puruliya,South Twenty Four Parganas,Uttar Dinajpur
2008,3429285.302,7461156,3298822.771,1604765.136,1747817.774,4610454.954,5323084.889,3676796.774,2677851.361,4527013.305,3693272.608,6580340.48,4934676.206,9564861.5,3284012.966,3284012.966,2765832.286,7634571.547,2766784.14
2008.038462,3470387.596,7461156,3348580.916,1622351.64,1772060.04,4669215.529,5371437.108,3724858.475,2712482.416,4519414.367,3765046.237,6707474.999,4991903.926,9674202.155,3082129.201,3082129.201,2806018.615,7763134.863,2825007.814
2008.076923,3470387.596,7461156,3348580.916,1622351.64,1772060.04,4669215.529,5371437.108,3724858.475,2712482.416,4519414.367,3765046.237,6707474.999,4991903.926,9674202.155,3082129.201,3082129.201,2806018.615,7763134.863,2825007.814
2008.115385,3470387.596,7461156,3348580.916,1622351.64,1772060.04,4669215.529,5371437.108,3724858.475,2712482.416,4519414.367,3765046.237,6707474.999,4991903.926,9674202.155,3082129.201,3082129.201,2806018.615,7763134.863,2825007.814
2008.153846,3470387.596,7461156,3348580.916,1622351.64,1772060.04,4669215.529,5371437.108,3724858.475,2712482.416,4519414.367,3765046.237,6707474.999,4991903.926,9674202.155,3082129.201,3082129.201,2806018.615,7763134.863,2825007.814
2008.192308,3470387.596,7461156,3348580.916,1622351.64,1772060.04,4669215.529,5371437.108,3724858.475,2712482.416,4519414.367,3765046.237,6707474.999,4991903.926,9674202.155,3082129.201,3082129.201,2806018.615,7763134.863,2825007.814
2008.230769,3470387.596,7461156,3348580.916,1622351.64,1772060.04,4669215.529,5371437.108,3724858.475,2712482.416,4519414.367,3765046.237,6707474.999,4991903.926,9674202.155,3082129.201,3082129.201,2806018.615,7763134.863,2825007.814
2008.269231,3470388,7461156,3348581,1622352,1772060,4669216,5371437,3724858,2712482,4519414,3765046,6707475,4991904,9674202,3082129,3082129,2806019,7763135,2825008
2008.307692,3470388,7461156,3348581,1622352,1772060,4669216,5371437,3724858,2712482,4519414,3765046,6707475,4991904,9674202,3082129,3082129,2806019,7763135,2825008
2008.346154,3470388,7461156,3348581,1622352,1772060,4669216,5371437,3724858,2712482,4519414,3765046,6707475,4991904,9674202,3082129,3082129,2806019,7763135,2825008
