time,city,nearest_big_city
2008,Bankura,Paschim Barddhaman
2008.038462,Bankura,Paschim Barddhaman
2008.076923,Bankura,Paschim Barddhaman
2008.115385,Bankura,Paschim Barddhaman
2008.153846,Bankura,Paschim Barddhaman
2008.192308,Bankura,Paschim Barddhaman
2008.230769,Bankura,Paschim Barddhaman
2008.269231,Bankura,Paschim Barddhaman
2008.307692,Bankura,Paschim Barddhaman
2008.346154,Bankura,Paschim Barddhaman
2008.384615,Bankura,Paschim Barddhaman
2008.423077,Bankura,Paschim Barddhaman
2008.461538,Bankura,Paschim Barddhaman
2008.5,Bankura,Paschim Barddhaman
2008.538462,Bankura,Paschim Barddhaman
2008.576923,Bankura,Paschim Barddhaman
2008.615385,Bankura,Paschim Barddhaman
2008.653846,Bankura,Paschim Barddhaman
2008.692308,Bankura,Paschim Barddhaman
2008.730769,Bankura,Paschim Barddhaman
2008.769231,Bankura,Paschim Barddhaman
2008.807692,Bankura,Paschim Barddhaman
2008.846154,Bankura,Paschim Barddhaman
2008.884615,Bankura,Paschim Barddhaman
2008.923077,Bankura,Paschim Barddhaman
2008.961538,Bankura,Paschim Barddhaman
2009,Bankura,Paschim Barddhaman
2009.038462,Bankura,Paschim Barddhaman
2009.076923,Bankura,Paschim Barddhaman
2009.115385,Bankura,Paschim Barddhaman
2009.153846,Bankura,Paschim Barddhaman
2009.192308,Bankura,Paschim Barddhaman
2009.230769,Bankura,Paschim Barddhaman
2009.269231,Bankura,Paschim Barddhaman
2009.307692,Bankura,Paschim Barddhaman
2009.346154,Bankura,Paschim Barddhaman
2009.384615,Bankura,Paschim Barddhaman
2009.423077,Bankura,Paschim Barddhaman
2009.461538,Bankura,Paschim Barddhaman
2009.5,Bankura,Paschim Barddhaman
2009.538462,Bankura,Paschim Barddhaman
2009.576923,Bankura,Paschim Barddhaman
2009.615385,Bankura,Paschim Barddhaman
2009.653846,Bankura,Paschim Barddhaman
2009.692308,Bankura,Paschim Barddhaman
2009.730769,Bankura,Paschim Barddhaman
2009.769231,Bankura,Paschim Barddhaman
2009.807692,Bankura,Paschim Barddhaman
2009.846154,Bankura,Paschim Barddhaman
2009.884615,Bankura,Paschim Barddhaman
2009.923077,Bankura,Paschim Barddhaman
2009.961538,Bankura,Paschim Barddhaman
2010,Bankura,Paschim Barddhaman
2010.038462,Bankura,Paschim Barddhaman
2010.076923,Bankura,Paschim Barddhaman
2010.115385,Bankura,Paschim Barddhaman
2010.153846,Bankura,Paschim Barddhaman
2010.192308,Bankura,Paschim Barddhaman
2010.230769,Bankura,Paschim Barddhaman
2010.269231,Bankura,Paschim Barddhaman
2010.307692,Bankura,Paschim Barddhaman
2010.346154,Bankura,Paschim Barddhaman
2010.384615,Bankura,Paschim Barddhaman
2010.423077,Bankura,Paschim Barddhaman
2010.461538,Bankura,Paschim Barddhaman
2010.5,Bankura,Paschim Barddhaman
2010.538462,Bankura,Paschim Barddhaman
2010.576923,Bankura,Paschim Barddhaman
2010.615385,Bankura,Paschim Barddhaman
2010.653846,Bankura,Paschim Barddhaman
2010.692308,Bankura,Paschim Barddhaman
2010.730769,Bankura,Paschim Barddhaman
2010.769231,Bankura,Paschim Barddhaman
2010.807692,Bankura,Paschim Barddhaman
2010.846154,Bankura,Paschim Barddhaman
2010.884615,Bankura,Paschim Barddhaman
2010.923077,Bankura,Paschim Barddhaman
2010.961538,Bankura,Paschim Barddhaman
2011,Bankura,Paschim Barddhaman
2011.038462,Bankura,Paschim Barddhaman
2011.076923,Bankura,Paschim Barddhaman
2011.115385,Bankura,Paschim Barddhaman
2011.153846,Bankura,Paschim Barddhaman
2011.192308,Bankura,Paschim Barddhaman
2011.230769,Bankura,Paschim Barddhaman
2011.269231,Bankura,Paschim Barddhaman
2011.307692,Bankura,Paschim Barddhaman
2011.346154,Bankura,Paschim Barddhaman
2011.384615,Bankura,Paschim Barddhaman
