time,city,susc,cases,births_original,births_adjusted,pop,v1_annual,v1_biweekly,v1_lagged
2008,Bankura,37609.1289,0,1666,419.832,3468807.034,0.88,0.88,0.88
2008.038462,Bankura,38028.9609,0,1666,419.832,3468807.034,0.88,0.88115386,0.88
2008.076923,Bankura,38448.7929,0,1666,419.832,3468807.034,0.88,0.88230769,0.88
2008.115385,Bankura,38868.6249,0,1666,419.832,3468807.034,0.88,0.88346155,0.88
2008.153846,Bankura,39288.4569,0,1666,419.832,3468807.034,0.88,0.88461538,0.88
2008.192308,Bankura,39708.2889,0,1666,419.832,3468807.034,0.88,0.88576924,0.88
2008.230769,Bankura,40128.1209,46,1666,418.1980189,3468807.034,0.88,0.88692307,0.88115386
2008.269231,Bankura,40546.31892,46,1666,416.5640802,3468807.034,0.88,0.88807693,0.88230769
2008.307692,Bankura,40962.883,15,1666,414.930099,3468807.034,0.88,0.88923076,0.88346155
2008.346154,Bankura,41377.81309,15,1666,413.2961604,3468807.034,0.88,0.89038462,0.88461538
2008.384615,Bankura,41791.10926,26,1666,411.6621792,3468807.034,0.88,0.89153845,0.88576924
2008.423077,Bankura,42202.77143,26,1666,410.0282406,3468807.034,0.88,0.89269231,0.88692307
2008.461538,Bankura,42612.79967,14,1666,408.3942594,3468807.034,0.88,0.89384614,0.88807693
2008.5,Bankura,43021.19393,14,1666,406.7603208,3468807.034,0.88,0.895,0.88923076
2008.538462,Bankura,43427.95426,70,1666,405.1263396,3468807.034,0.88,0.89615386,0.89038462
2008.576923,Bankura,43833.08059,70,1666,403.492401,3468807.034,0.88,0.89730769,0.89153845
2008.615385,Bankura,44236.573,41,1666,401.8584198,3468807.034,0.88,0.89846155,0.89269231
2008.653846,Bankura,44638.43142,41,1666,400.2244811,3468807.034,0.88,0.89961538,0.89384614
2008.692308,Bankura,45038.6559,5,1666,398.5905,3468807.034,0.88,0.90076924,0.895
2008.730769,Bankura,45437.2464,5,1666,396.9565189,3468807.034,0.88,0.90192307,0.89615386
2008.769231,Bankura,45834.20292,10,1666,395.3225802,3468807.034,0.88,0.90307693,0.89730769
2008.807692,Bankura,46229.5255,10,1666,393.688599,3468807.034,0.88,0.90423076,0.89846155
2008.846154,Bankura,46623.21409,10,1666,392.0546604,3468807.034,0.88,0.90538462,0.89961538
